time [ms],altitude [cm],airspeed [x0.01 m/s],angle_of_attack [x0.1 deg],airdata_pressure [hPa],airdata_temperature [degC],rotation [x0.1 rpm],rotation_voltage [0.01 V],elevator_angle,rudder_angle,trim,trim_sign,servo_received,screen_toggle,pitch [x0.1 deg],roll [x0.1 deg],gyro_temperature [x0.01 degC],servo_voltage [x0.01 V],servo_current [x0.01 A],main_voltage [x0.01 V],temperature [x0.01 degC],pressure [x0.01 hPa],humidity [x0.01 p.c.],
00000570,0042,0000,0000,0000,00,0000,000,090,090,00,+,0,0,-038,-016,2420,0000,0000,0384,2632,101206,8820,
00001070,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-024,-016,2425,0786,0173,0764,2638,101203,8826,
00001570,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-024,-018,2430,0797,0009,0762,2641,101205,8820,
00002070,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-048,-022,2430,0793,0061,0764,2644,101206,8816,
00002570,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-046,-010,2439,0796,0027,0764,2646,101208,8811,
00003070,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-020,2448,0794,0032,0764,2648,101207,8806,
00003570,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-052,-014,2448,0796,0030,0764,2649,101206,8802,
00004070,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-042,-012,2453,0796,0023,0764,2651,101206,8796,
00004570,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-024,-016,2453,0792,0031,0764,2653,101209,8789,
00005070,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-034,-013,2453,0796,0033,0764,2654,101208,8781,
00005570,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-036,-012,2463,0796,0027,0764,2657,101208,8779,
00006070,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-043,-012,2463,0794,0023,0764,2658,101208,8773,
00006571,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-047,-016,2448,0796,0024,0764,2660,101208,8768,
00007071,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-043,-011,2458,0796,0016,0762,2661,101208,8761,
00007571,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-033,-020,2463,0791,0023,0764,2663,101208,8756,
00008071,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-036,-015,2458,0794,0032,0762,2664,101211,8750,
00008571,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-038,-015,2463,0794,0031,0764,2666,101209,8743,
00009071,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-041,-019,2477,0787,0032,0764,2668,101210,8735,
00009571,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-034,-005,2472,0794,0033,0764,2669,101210,8730,
00010071,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-016,2472,0796,0029,0764,2671,101207,8724,
00010571,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-015,2481,0796,0020,0764,2672,101205,8718,
00011071,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-006,2472,0794,0035,0764,2674,101208,8711,
00011571,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-019,2472,0796,0019,0764,2675,101206,8705,
00012071,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-026,2477,0796,0027,0764,2677,101212,8699,
00012571,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-029,-016,2481,0794,0031,0764,2679,101208,8690,
00013071,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-031,-009,2481,0796,0029,0764,2681,101208,8685,
00013571,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-043,-018,2472,0794,0032,0764,2681,101208,8677,
00014071,0092,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-045,-034,2491,0793,0039,0762,2683,101208,8672,
00014571,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-041,-015,2481,0786,0026,0764,2685,101206,8664,
00015071,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-015,2477,0794,0038,0762,2686,101208,8658,
00015571,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-047,-012,2481,0793,0034,0764,2688,101207,8652,
00016071,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-036,-011,2481,0778,0033,0764,2689,101208,8644,
00016571,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-046,-021,2477,0794,0029,0764,2691,101209,8638,
00017071,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-011,2481,0793,0047,0764,2692,101206,8631,
00017571,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-019,-021,2491,0778,0031,0764,2694,101206,8623,
00018071,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-041,-010,2495,0792,0037,0764,2695,101205,8617,
00018571,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-016,2481,0793,0036,0764,2696,101208,8610,
00019072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-041,-017,2486,0780,0038,0764,2698,101208,8603,
00019572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-044,-020,2486,0794,0037,0764,2700,101208,8597,
00020072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-038,-018,2495,0793,0034,0764,2701,101210,8589,
00020572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-032,-009,2491,0781,0034,0764,2702,101207,8583,
00021072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-033,-007,2495,0796,0027,0764,2705,101209,8576,
00021572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-034,-021,2491,0794,0030,0764,2706,101207,8570,
00022072,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-047,-012,2495,0784,0029,0764,2707,101205,8563,
00022572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-045,-012,2505,0794,0028,0764,2708,101207,8556,
00023072,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-017,2510,0794,0032,0764,2710,101206,8548,
00023572,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-032,-022,2500,0792,0033,0764,2711,101207,8541,
00024072,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-038,-008,2500,0794,0033,0762,2713,101207,8534,
00024572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-017,2500,0796,0032,0762,2714,101207,8527,
00025072,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-045,-012,2491,0794,0025,0764,2716,101208,8520,
00025572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-036,-008,2510,0796,0026,0764,2717,101210,8512,
00026072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-034,-013,2495,0796,0028,0764,2718,101207,8504,
00026572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-042,-011,2505,0794,0029,0764,2719,101207,8497,
00027072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-044,-014,2500,0794,0026,0764,2720,101208,8491,
00027572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-036,-014,2510,0794,0033,0764,2722,101207,8482,
00028072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-042,-018,2519,0794,0028,0764,2723,101208,8474,
00028572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-033,-009,2510,0794,0031,0764,2724,101208,8468,
00029072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-042,-016,2510,0796,0027,0764,2725,101204,8463,
00029572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-014,2519,0794,0031,0762,2728,101206,8458,
00030072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-034,-025,2519,0793,0032,0764,2729,101206,8454,
00030572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-044,-017,2519,0788,0025,0764,2731,101210,8446,
00031072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-049,-015,2514,0796,0014,0764,2732,101209,8437,
00031572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-035,-015,2510,0793,0033,0764,2733,101210,8429,
00032072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-029,-014,2524,0790,0026,0764,2733,101207,8421,
00032572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-019,2519,0794,0030,0764,2735,101209,8415,
00033072,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-045,-008,2524,0793,0030,0764,2736,101206,8408,
00033572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-012,2514,0790,0032,0764,2737,101206,8401,
00034072,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-038,-014,2510,0793,0037,0764,2738,101209,8395,
00034572,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-018,2524,0793,0045,0762,2740,101208,8390,
00035072,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-035,-014,2514,0779,0030,0764,2742,101209,8381,
00035572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-043,-010,2528,0796,0028,0764,2743,101210,8374,
00036072,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-015,2519,0793,0028,0764,2744,101211,8366,
00036572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-017,2524,0792,0030,0764,2745,101210,8359,
00037072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-013,2524,0794,0033,0762,2746,101209,8352,
00037572,0084,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-015,2519,0796,0029,0762,2747,101210,8345,
00038072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-012,2528,0788,0029,0764,2749,101212,8340,
00038572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-048,-012,2524,0794,0034,0764,2750,101209,8330,
00039072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-048,-021,2533,0794,0036,0764,2752,101209,8324,
00039572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-035,-018,2514,0788,0025,0764,2753,101213,8317,
00040072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-039,-014,2524,0797,0025,0764,2754,101208,8310,
00040572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-038,-018,2528,0794,0031,0764,2755,101206,8303,
00041072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-042,-005,2528,0794,0028,0764,2756,101207,8296,
00041572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-037,-017,2533,0794,0043,0764,2757,101205,8290,
00042072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-041,-014,2528,0794,0037,0764,2758,101207,8284,
00042572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-012,2524,0793,0041,0764,2759,101208,8276,
00043072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-042,-020,2533,0794,0036,0764,2760,101208,8268,
00043572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-035,-024,2533,0794,0034,0764,2762,101206,8263,
00044072,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-041,-016,2533,0794,0028,0764,2764,101210,8256,
00044572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-035,-018,2533,0794,0021,0764,2765,101206,8252,
00045072,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-036,-020,2543,0794,0028,0764,2766,101208,8245,
00045572,0090,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-036,-011,2533,0794,0038,0762,2767,101208,8240,
00046072,0088,0000,0000,0000,00,0000,000,101,088,11,+,1,0,-043,-007,2538,0794,0027,0762,2768,101206,8232,
00046572,0088,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-040,-026,2543,0780,0034,0764,2770,101208,8226,
00047072,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-043,-008,2533,0796,0021,0764,2771,101209,8220,
00047572,0086,0000,0000,0000,00,0000,000,101,089,11,+,1,0,-038,-016,2538,0793,0031,0764,2772,101209,8213,
